HiddenLayers/epochs	10_Timing(s)	10_Loss	10_Accuracy	20_Timing(s)	20_Loss	20_Accuracy	30_Timing(s)	30_Loss	30_Accuracy	40_Timing(s)	40_Loss	40_Accuracy	50_Timing(s)	50_Loss	50_Accuracy	100_Timing(s)	100_Loss	100_Accuracy	150_Timing(s)	150_Loss	150_Accuracy	200_Timing(s)	200_Loss	200_Accuracy
1	12.851	107.468	37.733	8.524	104.663	44.282	8.503	102.141	45.777	9.192	103.364	49.003	9.679	107.302	42.121	15.381	102.134	49.734	21.367	108.631	48.861	26.999	100.699	47.939
2	15.158	102.586	47.407	12.968	97.538	50.997	13.495	104.945	42.819	13.656	101.75	39.745	15.339	99.203	48.005	26.187	99.537	49.036	38.042	96.934	50.266	48.588	92.223	51.475
3	20.823	115.46	32.48	18.191	92.87	52.427	18.49	96.498	47.487	18.966	94.317	49.235	21.31	89.518	51.995	37.134	88.079	59.707	55.047	91.503	50.536	71.094	90.146	52.826
4	24.098	101.349	50.266	22.418	98.149	50.532	22.732	96.317	50.436	23.645	93.593	51.496	26.44	93.291	53.989	47.683	93.913	52.527	71.333	94.497	52.849	92.562	92.295	53.324
5	28.891	96.649	50.166	27.548	97.349	52.227	28.021	95.644	49.866	28.537	100.49	48.703	32.016	95.619	52.66	58.51	91.544	54.388	88.111	105.279	41.32	114.595	97.14	45.412
10	52.002	88.382	56.117	50.648	91.679	53.125	51.298	89.005	54.189	52.725	89.715	58.981	60.233	92.156	57.148	112.171	90.07	58.178	171.467	90.258	57.406	224.41	85.286	58.177
20	97.601	93.854	51.363	97.478	96.941	46.11	99.517	86.126	58.881	101.656	94.144	50.399	116.29	95.597	53.025	220.37	78.38	61.336	337.84	81.409	59.953	443.139	86.314	58.211
30	147.124	88.725	53.89	147.874	99.12	49.568	150.002	83.841	62.031	152.153	95.251	53.954	172.71	85.562	57.846	328.769	84.064	63.032	504.819	80.72	65.449	662.977	95.53	50.168
																								
																								
																1	2	3	4	5	10	20	30	
																								
															150 h. l	21.367	38.042	55.047	71.333	88.111	171.467	337.84	504.819	
