Number,of,hidden,10Timing(s),Loss,Accuracy,20Timing(s),Loss_1,Accuracy_2,30Timing(s),Loss_3,Accuracy_4,40Timing(s),Loss_5,Accuracy_6,50Timing(s),Loss_7,Accuracy_8,100Timing(s),Loss_9,Accuracy_10,150Timing(s),Loss_11,Accuracy_12,200Timing(s),Loss_13,Accuracy_14,Column2,Column1
Number,of,epochs:1,9.147,0.306,0.914,9.42,0.263,0.923,10.355,0.22,0.935,11.261,0.194,0.945,12.282,0.182,0.948,13.118,0.141,0.958,14.014,0.123,0.963,11.259,0.12,0.965,,
Number,of,epochs:2,21.755,0.266,0.923,23.446,0.217,0.936,25.139,0.19,0.945,27.09,0.158,0.954,22.401,0.137,0.96,25.022,0.11,0.966,26.156,0.1,0.969,27.97,0.089,0.974,,
Number,of,epochs:3,43.225,0.266,0.923,36.452,0.198,0.94,38.937,0.142,0.957,41.864,0.12,0.966,44.462,0.134,0.96,47.03,0.087,0.975,49.851,0.077,0.977,52.615,0.085,0.974,,
Number,of,epochs:4,54.813,0.257,0.928,58.351,0.172,0.949,61.525,0.149,0.957,65.285,0.111,0.967,68.899,0.123,0.962,72.271,0.086,0.974,75.721,0.076,0.977,79.966,0.077,0.977,,
Number,of,epochs:5,102.722,0.228,0.934,78.787,0.166,0.95,83.216,0.135,0.96,87.873,0.101,0.97,92.621,0.112,0.967,96.191,0.071,0.977,102.114,0.078,0.977,106.096,0.069,0.978,,
Number,of,epochs:10,216.963,0.22,0.939,226.048,0.148,0.958,232.445,0.106,0.969,242.32,0.106,0.972,182.185,0.091,0.974,190.863,0.085,0.975,201.282,0.08,0.978,210.55,0.072,0.98,,
Number,of,epochs:20,431.456,0.218,0.94,449.073,0.141,0.96,458.584,0.132,0.966,487.879,0.122,0.97,503.582,0.108,0.975,505.545,0.104,0.978,524.283,0.103,0.978,540.481,0.106,0.98,,
Number,of,epochs:30,848.326,0.218,0.936,642.77,0.148,0.96,662.437,0.138,0.969,699.162,0.151,0.969,711.981,0.124,0.974,681.192,0.119,0.977,715.662,0.131,0.977,765.199,0.132,0.981,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epochs,1,2,3,4,5,10,20,30,,,,,,,,,,,,,,,,,,
,,10,9.147,21.755,43.225,54.813,102.722,216.963,431.456,848.326,,,,,,,,,,,,,,,,,,
,,150,14.014,26.156,49.851,75.721,102.114,201.282,524.283,715.662,,,,,,,,,,,,,,,,,,
,,Hidden layers,,,,,,,,,,,,,,,,,,,,,,,,,,
